what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1308210169546
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1308210169593
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.200.v200905120445,"org.eclipse.wst.jsdt.web.core",1308210170781
started,bundle,org.eclipse.jst.jee.ui,1.0.200.v200905242144,"org.eclipse.jst.jee.ui",1308210170906
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.300.v200903120000,"org.eclipse.jst.j2ee.navigator.ui",1308210170937
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308210171140
started,bundle,org.eclipse.pde.core,3.5.0.v20090602,"org.eclipse.pde.core",1308210171890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308210171890
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1308210171921
started,bundle,org.eclipse.wst.sse.ui,1.1.100.v200905141750,"org.eclipse.wst.sse.ui",1308210172531
started,bundle,org.eclipse.wst.html.ui,1.0.400.v200904292008,"org.eclipse.wst.html.ui",1308210172531
started,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1308210172546
started,bundle,org.eclipse.jst.jsp.core,1.2.202.v200905081451,"org.eclipse.jst.jsp.core",1308210172609
started,bundle,org.eclipse.jst.server.core,1.2.0.v20090421,"org.eclipse.jst.server.core",1308210172625
started,bundle,org.eclipse.wst.wsdl.validation,1.1.401.v200902271605,"org.eclipse.wst.wsdl.validation",1308210172671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308210172750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308210177812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308210256796
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1308210256796
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1308210259609
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1308210261546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308210263859
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308210315187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308210316171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308211893859
