what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1308221970093
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1308221970218
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308221981500
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308221983656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308221984437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308221989015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222008031
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222010062
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222013937
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222014843
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1308222021390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222024781
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222026218
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222033125
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222034328
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222053531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222055328
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1308222056390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222066015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222067343
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1308222083968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222087765
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222089500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222090875
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308222091656
