what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212218671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212238500
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1308212239031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212242015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212243531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212255515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212258859
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212264328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212265078
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1308212269750
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1308212271546
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1308212277093
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212278921
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212282171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212286828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212290765
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1308212294375
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212294921
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212299843
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1308212305593
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1308212305968
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1308212309640
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1308212310765
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212315750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212326843
