what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.PropertySheet",1308212733890
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1308212734656
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.0.I20090429-1800,"org.eclipse.ui.views.properties.tabbed",1308212734687
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.PropertySheet",1308212749734
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1308212750359
executed,command,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.run",1308212752578
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1308212753078
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1308212754281
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1308212754343
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1308212754546
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1308212755250
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1308212756828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212758203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212760453
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1308212760453
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1308212770921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212771671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212771671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212771765
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212804234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212811359
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212811812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212811906
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212823000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1308212826828
